roi,caudalmiddlefrontal_ave,medialorbitofrontal_ave,lateralorbitofrontal_ave,parsopercularis_ave,parsorbitalis_ave,parstriangularis_ave,rostralmiddlefrontal_ave,superiorfrontal_ave,frontalpole_ave,insula_ave,fusiform_ave,inferiortemporal_ave,middletemporal_ave,superiortemporal_ave,transversetemporal_ave,temporalpole_ave,inferiorparietal_ave,paracentral_ave,postcentral_ave,precuneus_ave,superiorparietal_ave,supramarginal_ave,cuneus_ave,lateraloccipital_ave,lingual_ave,pericalcarine_ave,caudalanteriorcingulate_ave,rostralanteriorcingulate_ave,isthmuscingulate_ave,posteriorcingulate_ave,parahippocampal_ave,entorhinal_ave,precentral_ave,bankssts_ave
meta_d,-0.45,-0.196,-0.122,-0.454,-0.185,-0.233,-0.371,-0.544,-0.096,-0.134,-0.39,-0.281,-0.269,-0.555,-0.302,-0.116,-0.255,-0.381,-0.334,-0.327,-0.305,-0.401,-0.198,-0.29,0.114,-0.186,-0.298,-0.353,-0.305,-0.327,-0.037,-0.23,-0.429,-0.358
meta_pval,0.036,0.383,0.59,0.034,0.41,0.297,0.089,0.009,0.671,0.551,0.073,0.206,0.225,0.007,0.171,0.606,0.252,0.08,0.128,0.138,0.168,0.065,0.377,0.191,0.613,0.407,0.177,0.107,0.167,0.138,0.869,0.303,0.046,0.102
